epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2830.1,1.55319,1.11028,0.94391,0.73702,0.61445,0.6654,0.45589,1.57681,1.07185,0.96278,0.000304538,0.000304538,0.000304538
79,2866.03,1.54408,1.08314,0.93403,0.70159,0.62878,0.67005,0.46441,1.54613,1.04011,0.95686,0.000302,0.000302,0.000302
80,2901.07,1.5406,1.07703,0.93339,0.74537,0.61499,0.67604,0.46832,1.54044,1.01561,0.95692,0.000299462,0.000299462,0.000299462
81,2936.33,1.55128,1.0951,0.93628,0.77566,0.61423,0.69388,0.4865,1.4948,1.00127,0.94919,0.000296923,0.000296923,0.000296923
82,2972.96,1.53941,1.09014,0.9418,0.73916,0.62032,0.68236,0.4799,1.48142,1.00666,0.94627,0.000294385,0.000294385,0.000294385
83,3009.22,1.54234,1.09089,0.93718,0.75036,0.61193,0.67178,0.47552,1.4813,1.02716,0.94508,0.000291846,0.000291846,0.000291846
84,3044.47,1.51993,1.07078,0.93576,0.77301,0.60695,0.68096,0.48823,1.46923,1.01373,0.94291,0.000289308,0.000289308,0.000289308
85,3081.11,1.5468,1.08656,0.93916,0.79054,0.62126,0.69301,0.49013,1.49048,1.00629,0.94194,0.000286769,0.000286769,0.000286769
86,3116.28,1.51171,1.06182,0.93366,0.76995,0.62225,0.68569,0.48045,1.49439,1.00076,0.94735,0.000284231,0.000284231,0.000284231
87,3153.6,1.54063,1.08076,0.93778,0.74705,0.60482,0.6641,0.46353,1.51098,1.02233,0.95023,0.000281692,0.000281692,0.000281692
88,3188.6,1.53326,1.07284,0.93423,0.77139,0.63251,0.69146,0.49345,1.46567,0.97939,0.94136,0.000279154,0.000279154,0.000279154
89,3224.84,1.51682,1.05942,0.93279,0.72756,0.6449,0.68951,0.49171,1.46273,0.99787,0.93833,0.000276615,0.000276615,0.000276615
90,3259.76,1.5213,1.06819,0.93134,0.72279,0.63677,0.68256,0.48387,1.4895,1.01272,0.94777,0.000274077,0.000274077,0.000274077
91,3294.91,1.52359,1.05237,0.934,0.77369,0.60192,0.69153,0.47716,1.51594,1.01404,0.9492,0.000271538,0.000271538,0.000271538
92,3331.02,1.53056,1.05974,0.93366,0.75331,0.65858,0.70066,0.4974,1.47131,0.98081,0.94024,0.000269,0.000269,0.000269
93,3367.25,1.51277,1.04574,0.93089,0.77768,0.63242,0.69949,0.50155,1.46108,0.96981,0.93978,0.000266462,0.000266462,0.000266462
94,3402.87,1.51128,1.04458,0.92881,0.76591,0.63096,0.69621,0.49574,1.46254,0.98439,0.94066,0.000263923,0.000263923,0.000263923
95,3438.39,1.51696,1.04668,0.93161,0.75342,0.64652,0.69824,0.50128,1.45545,0.97147,0.93745,0.000261385,0.000261385,0.000261385
96,3473.64,1.49142,1.03199,0.92839,0.78678,0.61943,0.69916,0.49716,1.46556,0.98214,0.93881,0.000258846,0.000258846,0.000258846
97,3511.56,1.51615,1.04291,0.92595,0.78793,0.61504,0.70046,0.49498,1.464,0.97093,0.94209,0.000256308,0.000256308,0.000256308
98,3546.83,1.49334,1.03097,0.92981,0.79572,0.63724,0.70785,0.50397,1.47619,0.95984,0.94171,0.000253769,0.000253769,0.000253769
99,3582.73,1.47587,1.02513,0.92762,0.78883,0.62784,0.69903,0.49138,1.47108,0.98254,0.94284,0.000251231,0.000251231,0.000251231
100,3617.75,1.4973,1.0252,0.92879,0.77986,0.64013,0.70211,0.5039,1.44327,0.96435,0.93549,0.000248692,0.000248692,0.000248692
101,3652.8,1.4775,1.01599,0.92392,0.817,0.63544,0.71066,0.49818,1.47089,0.96223,0.93935,0.000246154,0.000246154,0.000246154
102,3688.25,1.49616,1.01525,0.92424,0.80207,0.64661,0.71238,0.51468,1.44046,0.94052,0.93434,0.000243615,0.000243615,0.000243615
103,3724.43,1.46596,1.00668,0.91989,0.82014,0.63102,0.71217,0.50724,1.45861,0.94902,0.94011,0.000241077,0.000241077,0.000241077
104,3760.38,1.49677,1.01218,0.92706,0.82854,0.62571,0.71675,0.51183,1.43687,0.94672,0.93324,0.000238538,0.000238538,0.000238538
105,3795.21,1.4777,1.00168,0.92072,0.81445,0.6336,0.70492,0.50832,1.44439,0.94544,0.93523,0.000236,0.000236,0.000236
106,3831.16,1.47,1.00366,0.92129,0.77733,0.6425,0.71555,0.50962,1.4415,0.94932,0.93471,0.000233462,0.000233462,0.000233462
107,3866.82,1.49748,1.01652,0.92809,0.77157,0.65632,0.71822,0.50959,1.44255,0.9525,0.93364,0.000230923,0.000230923,0.000230923
108,3903.84,1.50295,1.01299,0.92249,0.75307,0.6488,0.71232,0.50677,1.46336,0.94995,0.94057,0.000228385,0.000228385,0.000228385
109,3939.53,1.49208,1.01813,0.92711,0.79002,0.65567,0.71945,0.50639,1.47088,0.94991,0.94167,0.000225846,0.000225846,0.000225846
110,3974.69,1.49723,1.00367,0.92384,0.79744,0.65027,0.71534,0.4946,1.49726,0.96371,0.94568,0.000223308,0.000223308,0.000223308
111,4010.59,1.49985,1.00848,0.92994,0.81201,0.64766,0.71512,0.51223,1.44175,0.94897,0.93463,0.000220769,0.000220769,0.000220769
112,4045.47,1.48763,1,0.92565,0.81387,0.65442,0.72714,0.51224,1.45038,0.93298,0.93309,0.000218231,0.000218231,0.000218231
113,4081.01,1.48091,1.00001,0.9256,0.80695,0.65201,0.72475,0.5205,1.42604,0.93385,0.93195,0.000215692,0.000215692,0.000215692
114,4117.2,1.46978,0.99379,0.92233,0.80209,0.64746,0.72403,0.51486,1.43997,0.93445,0.93215,0.000213154,0.000213154,0.000213154
115,4153.88,1.46755,0.98882,0.92019,0.80133,0.65142,0.72413,0.51652,1.44719,0.91958,0.93651,0.000210615,0.000210615,0.000210615
116,4189.12,1.47643,0.99971,0.92376,0.81725,0.64727,0.72965,0.52295,1.42586,0.90808,0.93109,0.000208077,0.000208077,0.000208077
117,4226.12,1.49774,1.00002,0.92423,0.83481,0.63533,0.72037,0.51673,1.41619,0.91537,0.92776,0.000205538,0.000205538,0.000205538
118,4261.13,1.46112,0.97837,0.92398,0.81044,0.65503,0.72353,0.52446,1.4199,0.9113,0.92953,0.000203,0.000203,0.000203
119,4299.01,1.47448,0.97824,0.92101,0.80602,0.64423,0.71906,0.50645,1.4629,0.92915,0.93573,0.000200462,0.000200462,0.000200462
120,4334.17,1.48821,0.99664,0.92283,0.76815,0.65944,0.72004,0.50907,1.4395,0.93063,0.93409,0.000197923,0.000197923,0.000197923
121,4370.38,1.44075,0.96691,0.91407,0.81346,0.6478,0.71917,0.51495,1.43809,0.92312,0.93234,0.000195385,0.000195385,0.000195385
122,4405.57,1.45026,0.96859,0.91496,0.82125,0.6612,0.73236,0.53023,1.41928,0.90913,0.92924,0.000192846,0.000192846,0.000192846
123,4443.45,1.46386,0.98562,0.91974,0.81753,0.65241,0.72721,0.52526,1.41172,0.9146,0.93033,0.000190308,0.000190308,0.000190308
124,4479.08,1.44123,0.97019,0.91819,0.81165,0.64393,0.72627,0.52382,1.42345,0.91765,0.92973,0.000187769,0.000187769,0.000187769
